# 8822E regulatory TX-power limit (array_mp_8822e_txpwr_lmt, all regions)
# fields: reg band bw rs ntx ch val  (reg: FCC=0 ETSI=1 MKK=2 WW13=3 IC=4 KCC=5 ACMA=6 CHILE=7 UKRAINE=8 MEXICO=9 CN=10 QATAR=11 UK=12; band 2.4G=0 5G=1; bw 20/40/80/160=0..3; rs CCK/OFDM/HT/VHT=0..3; ntx 1T/2T=0/1; val=power-index limit)
5 0 0 1 1 13 62
6 0 0 1 1 13 48
7 0 0 1 1 13 28
8 0 0 1 1 13 48
9 0 0 1 1 13 28
10 0 0 1 1 13 28
0 0 0 1 1 14 127
1 0 0 1 1 14 127
2 0 0 1 1 14 127
4 0 0 1 1 14 127
5 0 0 1 1 14 127
6 0 0 1 1 14 127
7 0 0 1 1 14 127
8 0 0 1 1 14 127
9 0 0 1 1 14 127
10 0 0 1 1 14 127
0 0 0 2 0 1 52
1 0 0 2 0 1 60
2 0 0 2 0 1 76
4 0 0 2 0 1 52
5 0 0 2 0 1 76
6 0 0 2 0 1 60
7 0 0 2 0 1 52
8 0 0 2 0 1 60
9 0 0 2 0 1 52
10 0 0 2 0 1 60
0 0 0 2 0 2 60
1 0 0 2 0 2 60
2 0 0 2 0 2 76
4 0 0 2 0 2 60
5 0 0 2 0 2 76
6 0 0 2 0 2 60
7 0 0 2 0 2 60
8 0 0 2 0 2 60
9 0 0 2 0 2 60
10 0 0 2 0 2 60
0 0 0 2 0 3 64
1 0 0 2 0 3 60
2 0 0 2 0 3 76
4 0 0 2 0 3 64
5 0 0 2 0 3 76
6 0 0 2 0 3 60
7 0 0 2 0 3 64
8 0 0 2 0 3 60
9 0 0 2 0 3 64
10 0 0 2 0 3 60
0 0 0 2 0 4 68
1 0 0 2 0 4 60
2 0 0 2 0 4 76
4 0 0 2 0 4 68
5 0 0 2 0 4 76
6 0 0 2 0 4 60
7 0 0 2 0 4 68
8 0 0 2 0 4 60
9 0 0 2 0 4 68
10 0 0 2 0 4 60
0 0 0 2 0 5 76
1 0 0 2 0 5 60
2 0 0 2 0 5 76
4 0 0 2 0 5 76
5 0 0 2 0 5 76
6 0 0 2 0 5 60
7 0 0 2 0 5 76
8 0 0 2 0 5 60
9 0 0 2 0 5 76
